zone_name, country_code, abbreviation, time_start, gmt_offset
Africa/Abidjan,CI,GMT,-1830383032,0,0
Africa/Accra,GH,GMT,-1830383032,0,0
Africa/Addis_Ababa,ET,EAT,-1946168836,9000,0
Africa/Algiers,DZ,CEST,-781052400,7200,1
Africa/Bamako,ML,GMT,-1830383032,0,0
Africa/Bissau,GW,GMT,157770000,0,0
Africa/Blantyre,MW,CAT,-2109291020,7200,0
Africa/Brazzaville,CG,GMT,-2035584815,0,0
Africa/Bujumbura,BI,CAT,-2109291020,7200,0
Africa/Cairo,EG,EEST,16703445600,10800,1
Africa/Casablanca,MA,WEST,1406944800,3600,1
Africa/Conakry,GN,GMT,-1830383032,0,
Africa/Dar_es_Salaam,TZ,EAT,-1946168836,9000,0
Africa/Djibouti,DJ,EAT,-1946168836,9000,0
Africa/Gaborone,BW,CAT,-2109291020,7200,0
Africa/Harare,ZW,CAT,-2109291020,7200,0
Africa/Johannesburg,ZA,SAST,-2109288600,7200,0
Africa/Kampala,UG,EAT,-1946168836,9000,0
Africa/Khartoum,SD,CAT,24786000,7200,0
Africa/Kigali,RW,CAT,-2109291020,7200,0
Africa/Kinshasa,CD,WAT,-1767226415,1800,0
Africa/Lagos,NG,WAT,-1767226415,1800,0
Africa/Luanda,AO,WAT,-1767226415,1800,
Africa/Lusaka,ZM,CAT,-2109291020,7200,0
Africa/Maputo,MZ,CAT,-2109291020,7200,0
Africa/Maseru,LS,SAST,-2458173120,5400,0
Africa/Mogadishu,SO,EAT,-1946168836,9000,0
Africa/Nairobi,KE,EAT,-1309746600,10800,0
Africa/Sao_Tome,ST,GMT,-1830384000,0,0
Africa/Tripoli,LY,CEST,-574902000,7200,1
Africa/Tunis,TN,CEST,-969242400,7200,1
Africa/Windhoek,NA,SAST,-860976000,10800,1
America/Anchorage,US,AHDT,-21470400,-32400,1
America/Argentina/Buenos_Aires,AR,ARST,-1233432000,-10800,1
America/Argentina/Cordoba,AR,ARST,-1233432000,-10800,1
America/Aruba,AW,AWT,-873057600,-10800,1
America/Barbados,BB,ADT,-874263600,-10800,1
America/Belize,BZ,CDT,-1616954400,-19800,1
America/Detroit,US,EDT,-684349200,-14400,1
America/El_Salvador,SV,CDT,547020000,-18000,1
America/Guatemala,GT,CDT,422344800,-18000,1
America/Halifax,CA,ADT,-1696276800,-10800,1
America/Lima,PE,PEST,-1009825200,-14400,1
America/Los_Angeles,US,PDT,-1633269600,-25200,1
America/New_York,US,EDT,-1633280400,-14400,1
America/Port-au-Prince,HT,EDT,2720070000,-14400,1
America/Santiago,CL,CLST,529473600,-10800,1
America/Sitka,US,PDT,9972000,-25200,1
America/Tijuana,MX,PDT,-1222963200,-25200,1
America/Toronto,CA,EDT,-1503248400,-14400,1
America/Vancouver,CA,PDT,-1632060000,-25200,1
America/Winnipeg,CA,CDT,-1632067200,-18000,1
Asia/Baghdad,IQ,ADT,389048400,14400,1
Asia/Bangkok,TH,ICT,-1570084924,25200,0
Asia/Beirut,LB,EEST,-1570413600,10800,1
Asia/Colombo,LK,IST,-883287000,21600,1
Asia/Damascus,SY,EEST,-1568592000,10800,1
Asia/Hebron,PS,EEST,-919036800,10800,1
Asia/Hong_Kong,HK,HKST,-900910800,32400,1
Asia/Jakarta,ID,WIB,-766054800,27000,0
Asia/Jerusalem,IL,IDT,-919036800,10800,1
Asia/Karachi,PK,IST,-862637400,23400,1
Asia/Kathmandu,NP,IST,-1577943676,19800,0
Asia/Kolkata,IN,IST,-891581400,23400,1
Asia/Kuala_Lumpur,MY,MALST,-1167634800,26400,1
Asia/Kuwait,KW,LMT,-719636813,11212,0
Asia/Macau,MO,CDT,-873280800,36000,1
Asia/Manila,PH,PDT,-1046678400,32400,1
Asia/Qatar,QA,GST,-1577935568,14400,0
Asia/Riyadh,SA,LMT,-719636813,11212,0
Asia/Seoul,KR,KDT,-681210000,36000,1
Asia/Shanghai,CN,CDT,-1600675200,32400,1
Asia/Singapore,SG,SMT,-1167634800,26400,1
Asia/Taipei,TW,CDT,-745833600,32400,1
Asia/Tehran,IR,IRST,227820600,16200,1
Asia/Tokyo,JP,JDT,-683802000,36000,1
Australia/Adelaide,AU,ACDT,120587400,37800,1
Australia/Brisbane,AU,AEDT,-1672560000,39600,1
Australia/Darwin,AU,ACDT,-1672558200,37800,1
Australia/Melbourne,AU,AEDT,-1672560000,39600,1
Australia/Perth,AU,AWDT,-1672552800,32400,1
Australia/Sydney,AU,AEDT,-1672560000,39600,1
Europe/Amsterdam,NL,CEST,-1693702800,7200,1
Europe/Athens,GR,EEST,-1182996000,10800,1
Europe/Belgrade,RS,CEST,-844556400,7200,1
Europe/Berlin,DE,CEST,-1663455600,7200,1
Europe/Brussels,BE,CEST,-1693702800,7200,1
Europe/Bucharest,RO,EEST,-1187056800,10800,1
Europe/Budapest,HU,CEST,-1663455600,7200,1
Europe/Copenhagen,DK,CEST,-748479600,7200,1
Europe/Dublin,IE,GMT,-1680471279,0,0
Europe/Gibraltar,GI,GMT,-1680472800,0,0
Europe/Helsinki,FI,EEST,-875671200,10800,1
Europe/Isle_of_Man,IM,GMT,-1680472800,0,0
Europe/Kaliningrad,RU,CEST,-1693706400,7200,1
Europe/Kyiv,UA,CEST,-892522800,7200,1
Europe/Lisbon,PT,WEST,-1689555600,3600,1
Europe/London,GB,GMT,-1680472800,0,0
Europe/Luxembourg,LU,CEST,-1693702800,7200,1
Europe/Madrid,ES,WEST,-1631926800,3600,1
Europe/Malta,MT,CEST,-1690765200,7200,1
Europe/Minsk,BY,CEST,-899780400,7200,1
Europe/Monaco,MC,WEST,-1689814800,3600,1
Europe/Moscow,RU,MST,-1656819079,12679,1
Europe/Oslo,NO,CEST,-1693706400,7200,1
Europe/Paris,FR,WEST,-1689814800,3600,1
Europe/Prague,CZ,CEST,-1693706400,7200,1
Europe/Rome,IT,CEST,-1690765200,7200,1
Europe/San_Marino,SM,CEST,-1690765200,7200,1
Europe/Sarajevo,BA,CEST,-844556400,7200,1
Europe/Sofia,BG,CEST,-844556400,7200,1
Europe/Stockholm,SE,CEST,-1693706400,7200,1
Europe/Vatican,VA,CEST,-1690765200,7200,1
Europe/Vienna,AT,CEST,-1693706400,7200,1
Europe/Warsaw,PL,CEST,-1693706400,7200,1
Europe/Zagreb,HR,CEST,-905824800,7200,1
Europe/Zurich,CH,CEST,-904435200,7200,1
Indian/Antananarivo,MG,EAT,-1946168836,9000,0
Indian/Comoro,KM,EAT,-1946168836,9000,0
Indian/Maldives,MV,MMT,-2840158440,17640,0
Indian/Mauritius,MU,MUST,403041600,18000,1
Indian/Reunion,RE,LMT,-1577936473,13272,0
Pacific/Auckland,NZ,NZST,-1330335000,45000,1
Pacific/Fiji,FJ,FJT,909842400,46800,1
Pacific/Honolulu,US,HDT,-1157283000,-34200,1
Pacific/Palau,PW,LMT,-3944624277,-54124,0
Pacific/Tahiti,PF,TAHT,-1806674504,-36000,0